slug,cms_content,display,type
vaovao,Vaovao,Vaovao,Actualite
nationale,Nationale,Nationale,Actualite
economie,Economie,Economie,Actualite
sport,Sport,Sport,Actualite
internationale,Internationale,Internationale,Actualite
sante-medecine,Médecine & Santé,Médecine & Santé,Actualite
people,People,People,Tendance
connected-life,High Tech,HighTech,Tendance
gastronomie,Gastronomie,Gastronomie,Tendance
tourisme-voyage,Tourisme & Voyage,Tourisme & Voyage,Tendance
education-emploi,Education & Emploi,Education & Emploi,Tendance
maison-jardin,Maison & Jardin,Maison & Jardin,Tendance
auto-moto,Auto-Moto,Auto & Moto,Tendance
famille,Famille,Famille,Tendance
politique,Politique,Politique,Tendance
culture,Culture,Culture,Actualite
video,Vidéo,Vidéo,Tendance
look-pour-lui-elle,Look pour lui & elle,Look pour lui & elle,Tendance
sante-bien-etre,Santé & Bien-être,Santé & Bien-être,Tendance
insolite,Insolite,Insolite,Tendance
gasy-winner,Gasy Winner,Gasy Winner,Actualite
